name,encoder,decoder,num_samples,code_dim,mean_global,std_global,min,max,abs_mean,l2_mean,l2_std,near_zero_1e_3,near_zero_1e_2,dim_std_mean,dim_std_std,dead_dim_ratio_1e_3,active_dim_ratio_1e_2,pca_top1_ratio,pca_top5_ratio,pca_top10_ratio,pca_top20_ratio,effective_rank,condition_number_top512,final_test_loss,final_test_nmse
convnext_transnet,convnext,transnet,100000,512,0.012767045758664608,1.4079804420471191,-9.744967460632324,11.765689849853516,1.073736548423767,31.71923065185547,2.9945247173309326,0.0006276171770878136,0.006273085717111826,1.2462654113769531,0.08876004815101624,0.0,1.0,0.03893670812249184,0.14140190184116364,0.22108310461044312,0.34398704767227173,171.5426025390625,97486.5859375,nan,nan
crnet_cnn_residual,crnet,cnn_residual,100000,512,-0.020474793389439583,10.31259536743164,-47.457801818847656,55.17941665649414,4.402200698852539,233.34344482421875,1.4360164403915405,0.0009642773657105863,0.009712050668895245,0.47283077239990234,0.07630043476819992,0.0,1.0,0.029456956312060356,0.11466201394796371,0.19059737026691437,0.3062989115715027,193.3268585205078,124043.796875,nan,nan
crnet_hybrid,crnet,hybrid,100000,512,-0.004532500170171261,0.8815091848373413,-7.212067127227783,12.343514442443848,0.5837060809135437,19.806381225585938,2.3604323863983154,0.001219042926095426,0.012231601402163506,0.6789243221282959,0.04714788869023323,0.0,1.0,0.04803512990474701,0.14844247698783875,0.22859108448028564,0.35206902027130127,165.11697387695312,7013.619140625,nan,nan
crnet_transnet,crnet,transnet,100000,512,-8.090001938398927e-05,0.5914130806922913,-5.06134033203125,4.469513416290283,0.4625830352306366,13.11459732055664,2.6625735759735107,0.0014183007879182696,0.01429580058902502,0.5728873014450073,0.03412393480539322,0.0,1.0,0.031221715733408928,0.12429213523864746,0.21057376265525818,0.3372872769832611,174.3730926513672,6133.74169921875,nan,nan
csinet_cnn_residual,csinet,cnn_residual,100000,512,0.08621081709861755,9.517489433288574,-50.94899368286133,43.95738983154297,4.247437953948975,215.33006286621094,3.8805172443389893,0.0009542382904328406,0.009585488587617874,0.43222686648368835,0.08441296219825745,0.0,1.0,0.15139137208461761,0.22658860683441162,0.28794318437576294,0.3819523751735687,138.27671813964844,610838.0,nan,nan
csinet_hybrid,csinet,hybrid,100000,512,-0.04343292862176895,1.200028657913208,-14.638837814331055,19.196500778198242,0.7475330233573914,26.95636749267578,3.411052942276001,0.0009984765201807022,0.009969159960746765,0.8513475656509399,0.0765143558382988,0.0,1.0,0.055236510932445526,0.13924404978752136,0.20743653178215027,0.3124547004699707,202.72280883789062,13267.0908203125,nan,nan
csinet_transnet,csinet,transnet,100000,512,-0.00512657267972827,1.049123764038086,-8.381916046142578,8.153525352478027,0.8176315426826477,23.125934600830078,5.361230850219727,0.0008135546813718975,0.008151737973093987,1.0356547832489014,0.056315649300813675,0.0,1.0,0.035063691437244415,0.1256089061498642,0.20147740840911865,0.31680911779403687,197.60963439941406,39657.45703125,nan,nan
dscnn_cnn_residual,dscnn,cnn_residual,100000,512,-0.21078719198703766,12.378849029541016,-94.2781982421875,73.01287841796875,3.607903480529785,280.1307067871094,2.5141866207122803,0.001269082073122263,0.012681386433541775,0.4836992025375366,0.15582653880119324,0.0,1.0,0.047703418880701065,0.14715354144573212,0.23529699444770813,0.35434386134147644,164.86341857910156,148524.375,nan,nan
dscnn_hybrid,dscnn,hybrid,100000,512,-0.1299188733100891,1.4715042114257812,-13.016592025756836,20.192415237426758,0.9600160717964172,33.269588470458984,3.2284207344055176,0.0007415820145979524,0.007355449255555868,1.1195359230041504,0.11549660563468933,0.0,1.0,0.04918772727251053,0.1725500524044037,0.2718324065208435,0.41165250539779663,140.46209716796875,7097.7255859375,nan,nan
dscnn_transnet,dscnn,transnet,100000,512,-0.012816660106182098,1.3142924308776855,-10.667759895324707,9.825752258300781,1.033780574798584,29.316089630126953,5.006163120269775,0.0006337890517897904,0.006330117117613554,1.2822022438049316,0.09368552267551422,0.0,1.0,0.04310274124145508,0.17500373721122742,0.2721959352493286,0.4008883237838745,154.360595703125,4953.337890625,nan,nan
