name,encoder,decoder,path,num_samples,code_dim,mean_global,std_global,min,max,abs_mean,abs_median,abs_q90,abs_q95,abs_q99,value_q001,value_q01,value_q05,value_median,value_q95,value_q99,value_q999,l2_mean,l2_std,l2_q01,l2_q05,l2_q25,l2_median,l2_q75,l2_q95,l2_q99,near_zero_1e_4,near_zero_1e_3,near_zero_1e_2,dim_mean_abs_mean,dim_mean_abs_max,dim_std_mean,dim_std_std,dim_std_min,dim_std_max,dead_dim_ratio_std_lt_1e_4,dead_dim_ratio_std_lt_1e_3,active_dim_ratio_std_gt_1e_2,cov_trace,pca_top1_ratio,pca_top2_ratio,pca_top5_ratio,pca_top10_ratio,pca_top20_ratio,pca_top50_ratio,effective_rank,condition_number_top512,final_test_loss,final_test_nmse
cnn_hybrid,cnn,hybrid,exps/seed42/COST2100/in/cnn_hybrid/base/codewords/train_code.pt,100000,512,-0.21856319904327393,1.8945244550704956,-16.327701568603516,23.448169708251953,1.099250316619873,0.80992192029953,2.1008145809173584,2.6100313663482666,5.099034309387207,-12.635040283203125,-3.7286787033081055,-2.3220298290252686,-0.24228161573410034,1.8006435632705688,3.0047566890716553,20.358596801757812,43.041011810302734,3.100309133529663,38.584861755371094,39.25791931152344,40.76092529296875,42.40175247192383,44.63933563232422,49.04144287109375,52.91554641723633,6.830078200437129e-05,0.0006787695456296206,0.006709687411785126,0.38609737157821655,20.235925674438477,1.2089215517044067,0.1093483418226242,0.7340088486671448,1.6212393045425415,0.0,0.0,1.0,754.4131469726562,0.04198595508933067,0.0804092139005661,0.16545724868774414,0.26675188541412354,0.40601006150245667,0.6419800519943237,141.70652770996094,38637.328125,nan,nan
cnn_transnet,cnn,transnet,exps/seed42/COST2100/in/cnn_transnet/base/codewords/train_code.pt,100000,512,-0.011241057887673378,1.0971074104309082,-8.881366729736328,8.587106704711914,0.8584378957748413,0.7047615051269531,1.7926182746887207,2.182302951812744,3.0164639949798584,-3.819786548614502,-2.6894421577453613,-1.8094801902770996,-0.008334307931363583,1.7756290435791016,2.64204740524292,3.7642524242401123,24.342851638793945,4.874050617218018,16.08035659790039,17.554594039916992,20.71298599243164,23.70585823059082,27.28883171081543,33.37250518798828,38.03269958496094,7.775390986353159e-05,0.000772558618336916,0.007706132717430592,0.11209891736507416,2.070329189300537,1.0747400522232056,0.0705137625336647,0.8396666646003723,1.2945462465286255,0.0,0.0,1.0,593.9456787109375,0.04278457537293434,0.08429734408855438,0.17112644016742706,0.2788201570510864,0.423845112323761,0.6576708555221558,134.77328491210938,36498.40625,nan,nan
convnext_cnn_residual,convnext,cnn_residual,exps/seed42/COST2100/in/convnext_cnn_residual/base/codewords/train_code.pt,100000,512,-0.2577188014984131,30.16861915588379,-235.38577270507812,260.2027893066406,8.574277877807617,1.1188710927963257,11.59199333190918,47.26863098144531,163.8820343017578,-213.26321411132812,-141.23464965820312,-10.020791053771973,-0.180447518825531,22.012378692626953,105.27643585205078,230.5396728515625,681.4834594726562,40.110591888427734,572.6317749023438,607.2891235351562,656.60595703125,686.4249267578125,711.2476806640625,737.9447631835938,754.052001953125,4.669922054745257e-05,0.0004764062468893826,0.004773183725774288,8.01043701171875,228.90194702148438,1.5964882373809814,1.558724284172058,0.6912952065467834,13.621243476867676,0.0,0.0,1.0,2548.96435546875,0.6401103138923645,0.6481425166130066,0.6671108603477478,0.692051887512207,0.7329631447792053,0.8187590837478638,13.138708114624023,9005344.0,nan,nan
convnext_hybrid,convnext,hybrid,exps/seed42/COST2100/in/convnext_hybrid/base/codewords/train_code.pt,100000,512,0.0019428161904215813,2.542452335357666,-24.313884735107422,27.94204330444336,1.8330906629562378,1.4232187271118164,3.6858296394348145,4.674383640289307,9.285987854003906,-12.379043579101562,-6.547954082489014,-3.7095911502838135,-0.012138137593865395,3.6617085933685303,7.107813358306885,14.629075050354004,57.35003662109375,4.536117076873779,49.77489471435547,51.328346252441406,54.161338806152344,56.65825271606445,59.73058319091797,65.70423889160156,72.15121459960938,3.994140570284799e-05,0.0003871484368573874,0.0038187499158084393,0.5561143755912781,11.320616722106934,2.023749589920044,0.24963393807411194,1.6093995571136475,3.762316942214966,0.0,0.0,1.0,2128.855712890625,0.037098176777362823,0.07003837823867798,0.1409294307231903,0.22149959206581116,0.34144771099090576,0.5743122100830078,172.48223876953125,17259.37890625,nan,nan
convnext_transnet,convnext,transnet,exps/seed42/COST2100/in/convnext_transnet/base/codewords/train_code.pt,100000,512,0.012767045758664608,1.4079804420471191,-9.744967460632324,11.765689849853516,1.073736548423767,0.8658344149589539,2.2173428535461426,2.7335164546966553,4.155440807342529,-5.5550031661987305,-3.414128303527832,-2.2090139389038086,0.006310763768851757,2.2256176471710205,3.528876781463623,7.118765830993652,31.71923065185547,2.9945247173309326,25.924015045166016,27.116859436035156,29.48806381225586,31.549236297607422,33.74946212768555,36.94892501831055,39.007389068603516,6.408202898455784e-05,0.0006276171770878136,0.006273085717111826,0.2388537973165512,7.048186779022217,1.2462654113769531,0.08876004815101624,1.0447129011154175,1.6086504459381104,0.0,0.0,1.0,799.2685546875,0.03893670812249184,0.07168105989694595,0.14140190184116364,0.22108310461044312,0.34398704767227173,0.5788077116012573,171.5426025390625,97486.5859375,nan,nan
crnet_cnn_residual,crnet,cnn_residual,exps/seed42/COST2100/in/crnet_cnn_residual/base/codewords/train_code.pt,100000,512,-0.020474793389439583,10.31259536743164,-47.457801818847656,55.17941665649414,4.402200698852539,0.5634258985519409,16.88373565673828,29.47846794128418,41.48672866821289,-43.627357482910156,-35.30109405517578,-16.44434928894043,0.04839256405830383,17.220796585083008,35.09965133666992,49.72251510620117,233.34344482421875,1.4360164403915405,229.765380859375,231.19580078125,232.54132080078125,233.28018188476562,234.0961456298828,235.698974609375,237.38990783691406,9.8632815934252e-05,0.0009642773657105863,0.009712050668895245,4.267623424530029,49.74349594116211,0.47283077239990234,0.07630043476819992,0.3529721200466156,0.856831967830658,0.0,0.0,1.0,117.4491958618164,0.029456956312060356,0.056063953787088394,0.11466201394796371,0.19059737026691437,0.3062989115715027,0.5297696590423584,193.3268585205078,124043.796875,nan,nan
crnet_hybrid,crnet,hybrid,exps/seed42/COST2100/in/crnet_hybrid/base/codewords/train_code.pt,100000,512,-0.004532500170171261,0.8815091848373413,-7.212067127227783,12.343514442443848,0.5837060809135437,0.44553330540657043,1.1570643186569214,1.4425393342971802,2.776217460632324,-4.587573051452637,-1.8894027471542358,-1.170941710472107,-0.02326182648539543,1.1422260999679565,1.9278558492660522,8.681527137756348,19.806381225585938,2.3604323863983154,16.171630859375,16.76519775390625,18.045869827270508,19.387950897216797,21.121660232543945,24.32433319091797,26.926570892333984,0.0001228125038323924,0.001219042926095426,0.012231601402163506,0.10036040097475052,8.773776054382324,0.6789243221282959,0.04714788869023323,0.5668243169784546,0.8674397468566895,0.0,0.0,1.0,237.1409454345703,0.04803512990474701,0.08695739507675171,0.14844247698783875,0.22859108448028564,0.35206902027130127,0.5898128747940063,165.11697387695312,7013.619140625,nan,nan
crnet_transnet,crnet,transnet,exps/seed42/COST2100/in/crnet_transnet/base/codewords/train_code.pt,100000,512,-8.090001938398927e-05,0.5914130806922913,-5.06134033203125,4.469513416290283,0.4625830352306366,0.37976014614105225,0.9655951857566833,1.1755425930023193,1.6274285316467285,-2.0487704277038574,-1.4363027811050415,-0.9664946794509888,0.0006133069982752204,0.9646956324577332,1.4379899501800537,2.0605084896087646,13.11459732055664,2.6625735759735107,8.747547149658203,9.53466510772705,11.137876510620117,12.707269668579102,14.663701057434082,18.13024139404297,20.90595817565918,0.0001407421805197373,0.0014183007879182696,0.01429580058902502,0.11172144114971161,0.5281537771224976,0.5728873014450073,0.03412393480539322,0.48410388827323914,0.6880272030830383,0.0,0.0,1.0,168.6361846923828,0.031221715733408928,0.056028105318546295,0.12429213523864746,0.21057376265525818,0.3372872769832611,0.5724983215332031,174.3730926513672,6133.74169921875,nan,nan
csinet_cnn_residual,csinet,cnn_residual,exps/seed42/COST2100/in/csinet_cnn_residual/base/codewords/train_code.pt,100000,512,0.08621081709861755,9.517489433288574,-50.94899368286133,43.95738983154297,4.247437953948975,0.5665562152862549,16.632888793945312,27.069381713867188,34.4498405456543,-44.548858642578125,-33.80116271972656,-15.594097137451172,0.09811636805534363,17.66909408569336,31.846399307250977,38.24079895019531,215.33006286621094,3.8805172443389893,206.13922119140625,209.38771057128906,213.0079803466797,215.0826416015625,217.44931030273438,222.06036376953125,226.29193115234375,9.4374998298008e-05,0.0009542382904328406,0.009585488587617874,4.147476673126221,44.56359100341797,0.43222686648368835,0.08441296219825745,0.3164483904838562,0.8936629891395569,0.0,0.0,1.0,99.30116271972656,0.15139137208461761,0.17455555498600006,0.22658860683441162,0.28794318437576294,0.3819523751735687,0.5759583711624146,138.27671813964844,610838.0,nan,nan
csinet_hybrid,csinet,hybrid,exps/seed42/COST2100/in/csinet_hybrid/base/codewords/train_code.pt,100000,512,-0.04343292862176895,1.200028657913208,-14.638837814331055,19.196500778198242,0.7475330233573914,0.5488442778587341,1.4692318439483643,1.8653068542480469,4.066391944885254,-8.437002182006836,-2.778432607650757,-1.5314818620681763,-0.048721276223659515,1.4029245376586914,2.4121475219726562,11.913819313049316,26.95636749267578,3.411052942276001,21.821470260620117,22.64099884033203,24.434364318847656,26.29898452758789,28.814292907714844,33.49801254272461,37.502262115478516,0.00010199219104833901,0.0009984765201807022,0.009969159960746765,0.16416750848293304,11.990467071533203,0.8513475656509399,0.0765143558382988,0.6600623726844788,1.1830167770385742,0.0,0.0,1.0,374.0950927734375,0.055236510932445526,0.08530727028846741,0.13924404978752136,0.20743653178215027,0.3124547004699707,0.5194375514984131,202.72280883789062,13267.0908203125,nan,nan
