left,right,centroid_l2,centroid_cosine,std_profile_l2,std_profile_cosine,covariance_frobenius
attention_cnn_transnet,csinet_transnet,4.0237812995910645,0.06768283247947693,10.297037124633789,0.9965793490409851,51.12861251831055
attention_cnn_transnet,dscnn_cnn_residual,279.9756164550781,-0.029314400628209114,4.305331230163574,0.9496314525604248,21.619461059570312
attention_cnn_transnet,dscnn_hybrid,21.779741287231445,-0.012878580950200558,12.39383602142334,0.9926198720932007,74.0284652709961
attention_cnn_transnet,dscnn_transnet,6.451070308685303,0.041365716606378555,15.927802085876465,0.9953421354293823,93.27320098876953
attention_cnn_transnet,mlp_ae_cnn_residual,282.0757141113281,-0.07992792129516602,5.779962062835693,0.956890344619751,22.95729637145996
attention_cnn_transnet,mlp_ae_hybrid,4.507183074951172,0.028086572885513306,10.20230770111084,0.9959208965301514,19.128149032592773
attention_cnn_transnet,mlp_ae_transnet,2.939584493637085,-0.039267756044864655,7.628596305847168,0.9969367980957031,18.914134979248047
attention_cnn_transnet,mlp_mixer_cnn_residual,270.2603759765625,0.07694368809461594,5.0744452476501465,0.9259060621261597,21.088075637817383
attention_cnn_transnet,mlp_mixer_hybrid,13.637186050415039,0.10289528220891953,3.8931868076324463,0.9956165552139282,19.55962562561035
attention_cnn_transnet,mlp_mixer_transnet,4.191009521484375,0.043722961097955704,5.975616931915283,0.9966958165168762,18.927560806274414
attention_cnn_transnet,resnet_cnn_residual,490.798095703125,-0.031214356422424316,6.496325969696045,0.9380068182945251,29.559898376464844
attention_cnn_transnet,resnet_hybrid,39.80158615112305,-0.008205091580748558,20.195497512817383,0.9945268630981445,126.97982025146484
attention_cnn_transnet,resnet_transnet,5.288395881652832,0.014219244942069054,9.595327377319336,0.9906028509140015,65.39803314208984
attention_cnn_transnet,sparse_resnet_cnn_residual,470.8460388183594,0.10739053040742874,6.1236677169799805,0.9380964040756226,28.669286727905273
attention_cnn_transnet,sparse_resnet_hybrid,39.364906311035156,-0.04314744099974632,18.924909591674805,0.9940937161445618,119.36089324951172
attention_cnn_transnet,sparse_resnet_transnet,5.749075889587402,-0.02886303700506687,11.695554733276367,0.9880906939506531,79.20757293701172
attention_cnn_transnet,swin_cnn_residual,157.99757385253906,-0.02748575061559677,6.429234504699707,0.9448137283325195,18.86774444580078
attention_cnn_transnet,swin_hybrid,9.80681037902832,0.027029801160097122,4.221248149871826,0.9940875172615051,19.6246337890625
attention_cnn_transnet,swin_transnet,2.5166430473327637,-0.004741784650832415,5.955928802490234,0.996317982673645,19.074214935302734
