model,metric,K,relative_error_mean,relative_error_std
dscnn_cnn_residual,std_global,16,0.0017908710552501494,0.0013044773291852035
dscnn_cnn_residual,std_global,32,0.0009777226235354191,0.0007133686410835068
dscnn_cnn_residual,std_global,64,0.0007361386188957243,0.0005232850421757343
dscnn_cnn_residual,std_global,128,0.000977083186314133,0.00037972891472253125
dscnn_cnn_residual,std_global,256,0.0003220529417039723,0.00032794268677395586
dscnn_cnn_residual,std_global,512,0.00026890261170814183,0.00019294649896759653
dscnn_cnn_residual,std_global,1024,0.00028827832991940624,0.00022849988367376132
dscnn_cnn_residual,l2_mean,16,0.0017901429114107873,0.0012971403337166125
dscnn_cnn_residual,l2_mean,32,0.0009764336650970884,0.0007186190357653336
dscnn_cnn_residual,l2_mean,64,0.0007353265594859228,0.0005184900641458223
dscnn_cnn_residual,l2_mean,128,0.0009769347913784056,0.0003806998477694233
dscnn_cnn_residual,l2_mean,256,0.00032274711326750347,0.0003282344749975734
dscnn_cnn_residual,l2_mean,512,0.0002684075938933623,0.00019048250335815064
dscnn_cnn_residual,l2_mean,1024,0.0002869274782029132,0.00022819309973919752
dscnn_cnn_residual,pca_top1_ratio,16,2.241647197497846,0.4341237829102619
dscnn_cnn_residual,pca_top1_ratio,32,1.0437165455617596,0.3049404070958249
dscnn_cnn_residual,pca_top1_ratio,64,0.49860242123391363,0.21529774013410738
dscnn_cnn_residual,pca_top1_ratio,128,0.2543026088673203,0.10947200600830954
dscnn_cnn_residual,pca_top1_ratio,256,0.0767240708116779,0.0708578710190984
dscnn_cnn_residual,pca_top1_ratio,512,0.07802015245419296,0.06400065454308519
dscnn_cnn_residual,pca_top1_ratio,1024,0.038414884662111105,0.03488771377421799
dscnn_cnn_residual,near_zero_1e_3,16,0.26533696983084265,0.15117712693579047
dscnn_cnn_residual,near_zero_1e_3,32,0.2204118175650462,0.14629475850601056
dscnn_cnn_residual,near_zero_1e_3,64,0.12703878755366774,0.11066976726340902
dscnn_cnn_residual,near_zero_1e_3,128,0.08815348436319524,0.06367459346249842
dscnn_cnn_residual,near_zero_1e_3,256,0.0619209469081393,0.051762927513071724
dscnn_cnn_residual,near_zero_1e_3,512,0.034677083497686334,0.01858204536657684
dscnn_cnn_residual,near_zero_1e_3,1024,0.03497767061859963,0.02420323626765686
attention_cnn_transnet,effective_rank,16,0.9127754855395344,0.0024527797389962847
attention_cnn_transnet,effective_rank,32,0.833776945371621,0.0047529384555309254
attention_cnn_transnet,effective_rank,64,0.7092859514464653,0.007510357566009026
attention_cnn_transnet,effective_rank,128,0.5473864331968109,0.011016363489262024
attention_cnn_transnet,effective_rank,256,0.35894043918582264,0.019485723867444946
attention_cnn_transnet,effective_rank,512,0.2164418187855001,0.013069401697066697
attention_cnn_transnet,effective_rank,1024,0.1259283931243599,0.006648729582957654
attention_cnn_transnet,pca_top5_ratio,16,2.658004763855327,0.14905932047896114
attention_cnn_transnet,pca_top5_ratio,32,1.3886265879917463,0.12719720173900767
attention_cnn_transnet,pca_top5_ratio,64,0.7158040948435055,0.08997981973196931
attention_cnn_transnet,pca_top5_ratio,128,0.37822884540301394,0.05498294571491355
attention_cnn_transnet,pca_top5_ratio,256,0.16037192798002367,0.050522569735724235
attention_cnn_transnet,pca_top5_ratio,512,0.07910486333414235,0.026111908054926556
attention_cnn_transnet,pca_top5_ratio,1024,0.05458384375782425,0.027692712696457292
attention_cnn_transnet,std_global,16,0.03579903460242642,0.025883514807882816
attention_cnn_transnet,std_global,32,0.02198005733308544,0.019855981040056373
attention_cnn_transnet,std_global,64,0.020396930931100263,0.013014433430288444
attention_cnn_transnet,std_global,128,0.020281446031478315,0.011434463526895844
attention_cnn_transnet,std_global,256,0.00793847815383893,0.006863100900113815
attention_cnn_transnet,std_global,512,0.008621324010795581,0.005100121784234164
attention_cnn_transnet,std_global,1024,0.005440041113025603,0.00371947649862508
attention_cnn_transnet,l2_mean,16,0.034082999595742396,0.02510005707591494
attention_cnn_transnet,l2_mean,32,0.021172316630656628,0.021539825689572786
attention_cnn_transnet,l2_mean,64,0.019725504527315845,0.012798486711945025
attention_cnn_transnet,l2_mean,128,0.019565025193510357,0.01119018186396065
attention_cnn_transnet,l2_mean,256,0.008264385195004874,0.006733697875309601
attention_cnn_transnet,l2_mean,512,0.008441250610676614,0.00519423094995264
attention_cnn_transnet,l2_mean,1024,0.005726121014726403,0.0035011481790211962
attention_cnn_transnet,pca_top1_ratio,16,2.716835338827459,0.32264102230339675
attention_cnn_transnet,pca_top1_ratio,32,1.3840485164839866,0.31024250992233593
attention_cnn_transnet,pca_top1_ratio,64,0.6116819162494759,0.15790481838204237
attention_cnn_transnet,pca_top1_ratio,128,0.386877313558334,0.14460438154022545
attention_cnn_transnet,pca_top1_ratio,256,0.1346280625878691,0.07526843976810937
attention_cnn_transnet,pca_top1_ratio,512,0.056149256206149425,0.039230459355592065
attention_cnn_transnet,pca_top1_ratio,1024,0.07749594234453214,0.048083394576842964
attention_cnn_transnet,near_zero_1e_3,16,0.2579979302610499,0.15291829616225427
attention_cnn_transnet,near_zero_1e_3,32,0.15490196625200262,0.10957414538583099
attention_cnn_transnet,near_zero_1e_3,64,0.12884415298746593,0.09142440332014293
attention_cnn_transnet,near_zero_1e_3,128,0.10862573303254483,0.05744920629125212
attention_cnn_transnet,near_zero_1e_3,256,0.05385277689975807,0.05707796888769022
attention_cnn_transnet,near_zero_1e_3,512,0.04042611230425196,0.03735018846127199
attention_cnn_transnet,near_zero_1e_3,1024,0.03626052072191209,0.019678121945797752
transnet_transnet,effective_rank,16,0.9090873065949532,0.001242010357104334
transnet_transnet,effective_rank,32,0.8309429761121058,0.0038057883625001983
transnet_transnet,effective_rank,64,0.708217469874622,0.010403591253399833
transnet_transnet,effective_rank,128,0.5439039917567204,0.01213943775077478
transnet_transnet,effective_rank,256,0.372490833173533,0.017636510229103262
transnet_transnet,effective_rank,512,0.22769557305927196,0.01715958799542149
transnet_transnet,effective_rank,1024,0.1189082201496873,0.016357929379053195
transnet_transnet,pca_top5_ratio,16,1.7119923129331098,0.06534666373510034
transnet_transnet,pca_top5_ratio,32,0.9010339853558861,0.07458735029569918
transnet_transnet,pca_top5_ratio,64,0.4343360797416044,0.07949543756911318
transnet_transnet,pca_top5_ratio,128,0.20719892499923928,0.044615038606551194
transnet_transnet,pca_top5_ratio,256,0.12233465941713555,0.03682525220423165
transnet_transnet,pca_top5_ratio,512,0.06151965717921731,0.03373853894385476
transnet_transnet,pca_top5_ratio,1024,0.03208533975712766,0.016601659531635116
transnet_transnet,std_global,16,0.041563088540278674,0.024287096279924036
transnet_transnet,std_global,32,0.02098850946056399,0.019258890981952888
transnet_transnet,std_global,64,0.01943203118137574,0.013737078790836087
transnet_transnet,std_global,128,0.00980766224543423,0.006880994228165978
transnet_transnet,std_global,256,0.008282783694093791,0.00713758094584883
transnet_transnet,std_global,512,0.0063727011104940876,0.005479288243718864
transnet_transnet,std_global,1024,0.0049224559799786495,0.00289839432665301
transnet_transnet,l2_mean,16,0.04073874330049774,0.02154970637740632
transnet_transnet,l2_mean,32,0.021600061257467357,0.01939106060600421
transnet_transnet,l2_mean,64,0.018582704406271806,0.01258889048510153
transnet_transnet,l2_mean,128,0.009978216486278498,0.0069410319012018756
transnet_transnet,l2_mean,256,0.007970871988956591,0.006419183157421319
transnet_transnet,l2_mean,512,0.006071410593958547,0.005618283414669949
transnet_transnet,l2_mean,1024,0.00474200410885742,0.0030921215004910203
transnet_transnet,pca_top1_ratio,16,0.8128818926132683,0.16008674553569338
transnet_transnet,pca_top1_ratio,32,0.35846866105035846,0.20225188624528934
transnet_transnet,pca_top1_ratio,64,0.20693505917967708,0.15657343902529705
transnet_transnet,pca_top1_ratio,128,0.09831804728525058,0.0706311121565387
transnet_transnet,pca_top1_ratio,256,0.06787056243576901,0.03593315780773202
