exp_name,tensor,shape,numel,mse,rmse,target_rms,param_nmse_db
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.1.linear1.weight,2048x64,131072,1.8424652080837004e-09,4.2923946790616775e-05,0.04387927070683904,-60.19119505913537
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.1.linear1.bias,2048,2048,4.9871651769729e-09,7.061986389800607e-05,0.07399309192388198,-60.40528598360599
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.1.linear2.weight,64x2048,131072,2.0815511378460397e-09,4.5624019308320915e-05,0.04613731655734028,-60.09717578146082
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.1.linear2.bias,64,64,2.9225507685523276e-06,0.001709546948332314,0.024829387855416937,-23.2416996098488
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.1.norm1.weight,64,64,1.102141318193306e-05,0.00331985137949473,1.0403915942466144,-49.92156385418768
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.1.norm1.bias,64,64,7.609672095072234e-07,0.0008723343450232963,0.01528709030156096,-24.872837187780267
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.1.norm2.weight,64,64,2.3053669355899142e-05,0.004801423680107718,1.0234030634075817,-46.5735336521096
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.1.norm2.bias,64,64,2.395338304083233e-06,0.0015476880512826972,0.023942704724196733,-23.789795597743154
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.1.norm3.weight,64,64,9.838162681297113e-06,0.003136584556694927,0.9861710463476293,-49.94990495619679
set_transformer_film_zscore_tok512_h2048_lr1e-4_ep1000_seed42,decoder.layers.1.norm3.bias,64,64,4.2959023106602325e-06,0.0020726558591961743,0.02257113991355051,-20.740525888430152
