name,encoder,decoder,n_samples,code_dim,std_global,l2_mean,l2_std,near_zero_1e_3,effective_rank,pca_top1_ratio,pca_top5_ratio,pca_top10_ratio,participation_ratio,pcs_for_90pct,condition_number,dim_std_mean,final_test_nmse
resnet_cnn_residual,resnet,cnn_residual,100000,512,21.699914932250977,491.0185241699219,2.2035984992980957,0.000869882816914469,193.0139617919922,0.02894444204866886,0.11605815589427948,0.19631724059581757,119.61997985839844,192,111375.7421875,0.7067309021949768,nan
resnet_hybrid,resnet,hybrid,100000,512,2.2903361320495605,51.74787902832031,3.576401472091675,0.0005618554423563182,134.1311492919922,0.04862472414970398,0.17060261964797974,0.2715633511543274,74.94891357421875,136,104734.3984375,1.4685858488082886,nan
resnet_transnet,resnet,transnet,100000,512,1.0206419229507446,22.629993438720703,4.608715057373047,0.0008378515485674143,124.74968719482422,0.06808724254369736,0.20898671448230743,0.3171941339969635,60.9376335144043,142,71028.0,0.9900025129318237,nan
sparse_resnet_cnn_residual,sparse_resnet,cnn_residual,100000,512,20.831037521362305,471.3510437011719,2.2814114093780518,0.0009543164051137865,191.14634704589844,0.028711147606372833,0.12052691727876663,0.2014429122209549,116.5655517578125,192,100627.1796875,0.6864021420478821,nan
sparse_resnet_hybrid,sparse_resnet,hybrid,100000,512,2.235165596008301,50.53641891479492,3.522031545639038,0.0005784179666079581,131.32009887695312,0.04763196408748627,0.17977720499038696,0.28023040294647217,72.50719451904297,133,78033.9765625,1.4114797115325928,nan
sparse_resnet_transnet,sparse_resnet,transnet,100000,512,1.1133612394332886,24.730785369873047,4.8125691413879395,0.0007645703153684735,117.03829956054688,0.05962855741381645,0.21856151521205902,0.33724913001060486,58.351165771484375,133,31282.703125,1.0772244930267334,nan
swin_cnn_residual,swin,cnn_residual,100000,512,6.987912178039551,158.11758422851562,0.5340389609336853,0.00196693348698318,214.37049865722656,0.023736724629998207,0.097077377140522,0.16296520829200745,142.2139129638672,206,118350.0,0.32661476731300354,nan
swin_hybrid,swin,hybrid,100000,512,0.5896438360214233,13.295543670654297,1.11613130569458,0.002040605526417494,168.87567138671875,0.03799498453736305,0.1361360102891922,0.2173188328742981,98.7204360961914,165,9057.4560546875,0.4061880111694336,nan
swin_transnet,swin,transnet,100000,512,0.33171510696411133,7.349488735198975,1.5241625308990479,0.0025347655173391104,172.83627319335938,0.036551669239997864,0.13494957983493805,0.2113094925880432,101.62804412841797,170,19250.5,0.32560819387435913,nan
transnet_cnn_residual,transnet,cnn_residual,100000,512,12.477425575256348,282.3833312988281,3.509092330932617,0.0010123437969014049,216.49630737304688,0.05690619349479675,0.11890731006860733,0.17746815085411072,115.63175201416016,221,1468404.5,0.6465488076210022,nan
