num_samples,code_dim,global_mean,global_std,global_rms,sample_norm_mean,sample_norm_std,dim_mean_abs,dim_var_mean,dim_var_std,dim_var_cv,cov_offdiag_ratio,effective_rank,rel_path,family,scheme,seed,encoder,decoder,adapter,best_nmse,final_test_nmse,complete,nmse
100000,512,0.0001192075578728,0.260746419429779,0.2607464492321014,5.780999660491943,1.179090976715088,0.0002150701766368,0.067988634109497,0.1414875537157058,2.0810470581054688,0.0481483452022075,95.8271484375,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_transnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,3407,transnet,transnet,gated_lowrank_affine_mlp,-29.539,-29.539,True,
100000,512,-1.0104157809109893e-05,0.2595430612564087,0.2595430612564087,5.750027179718018,1.1945037841796875,0.0011607253691181,0.0673601180315017,0.139951691031456,2.0776638984680176,0.0483883470296859,96.07850646972656,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed42_clnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,42,clnet,transnet,gated_lowrank_affine_mlp,-26.418,-26.418,True,
100000,512,0.0003046779311262,0.2598773837089538,0.2598775327205658,5.764482975006104,1.161612868309021,0.0005211682873778,0.0675359219312667,0.1407155692577362,2.083566188812256,0.0480935499072074,95.63908386230467,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed42_crnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,42,crnet,transnet,gated_lowrank_affine_mlp,-23.294,-23.294,True,
100000,512,0.0006114548305049,0.25955531001091,0.2595560252666473,5.759260654449463,1.1506582498550415,0.0013204653514549,0.0673659145832061,0.1403479427099228,2.083367347717285,0.0482205860316753,95.6530303955078,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed42_csinet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,42,csinet,transnet,gated_lowrank_affine_mlp,-25.885,-25.885,True,
100000,512,-0.0032611852511763,0.8640645742416382,0.8640706539154053,15.818427085876465,11.491122245788574,0.0037216776981949,0.7465959191322327,0.6209747195243835,0.8317413926124573,5.985076904296875,8.219932556152344,adapter/aux_pca_1e-2_code_reg_weak/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_dec_seed42,adapter/aux_pca_1e-2_code_reg_weak/gated_lowrank_affine_mlp,aux_pca_1e-2_code_reg_weak,3407,transnet,transnet,gated_lowrank_affine_mlp,-14.379,-14.379,True,
100000,512,0.2061844021081924,0.4529566168785095,0.4976763129234314,11.122941970825195,1.758751392364502,0.2061844021081924,0.2049900591373443,0.4837830662727356,2.360031843185425,0.0562442131340503,77.68942260742188,adapter/aux_pca_1e-3/diag_affine/rank32_code1e-3_fc1e-2_lr2e-4/enc_seed2026_dec_seed42,adapter/aux_pca_1e-3/diag_affine,aux_pca_1e-3,2026,transnet,transnet,diag_affine,-12.535,-11.771,True,
100000,512,0.2070855945348739,0.4976798892021179,0.5390452146530151,12.013460159301758,2.109145402908325,0.2070856094360351,0.2476831972599029,0.5101828575134277,2.0598201751708984,0.0765566676855087,97.09088897705078,adapter/aux_pca_1e-3/gated_lowrank_affine_linear/rank32_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed2026_dec_seed42,adapter/aux_pca_1e-3/gated_lowrank_affine_linear,aux_pca_1e-3,2026,transnet,transnet,gated_lowrank_affine_linear,-20.187,,False,
100000,512,0.2065799981355667,0.4973956644535064,0.5385887026786804,11.999566078186035,2.1284306049346924,0.2065799981355667,0.24739870429039,0.5101361870765686,2.062000274658203,0.0750905200839042,96.94690704345705,adapter/aux_pca_1e-3/gated_lowrank_affine_linear/rank32_gate0.1_code1e-3_fc1e-3_lr5e-4_ep400/enc_seed2026_dec_seed42,adapter/aux_pca_1e-3/gated_lowrank_affine_linear,aux_pca_1e-3,2026,transnet,transnet,gated_lowrank_affine_linear,-21.935,,False,
100000,512,0.2037411332130432,0.497524231672287,0.5376251935958862,11.970012664794922,2.169727563858032,0.2037411332130432,0.2475298047065735,0.5098150968551636,2.0596108436584477,0.0754780545830726,97.12313079833984,adapter/aux_pca_1e-3/gated_lowrank_affine_mlp/rank32_hidden1024_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed2026_dec_seed42,adapter/aux_pca_1e-3/gated_lowrank_affine_mlp,aux_pca_1e-3,2026,transnet,transnet,gated_lowrank_affine_mlp,-26.818,-26.818,True,
100000,512,0.2035073786973953,0.4970591962337494,0.5371062159538269,11.963293075561523,2.140784978866577,0.2035073935985565,0.247065931558609,0.5092558860778809,2.0612144470214844,0.0754787474870681,97.00076293945312,adapter/aux_pca_1e-3/gated_lowrank_affine_mlp/rank32_hidden1024_gate0.1_code1e-3_fc1e-3_lr5e-4_ep400/enc_seed2026_dec_seed42,adapter/aux_pca_1e-3/gated_lowrank_affine_mlp,aux_pca_1e-3,2026,transnet,transnet,gated_lowrank_affine_mlp,-26.907,,False,
