num_samples,code_dim,global_mean,global_std,global_rms,sample_norm_mean,sample_norm_std,dim_mean_abs,dim_var_mean,dim_var_std,dim_var_cv,cov_offdiag_ratio,effective_rank,rel_path,family,scheme,seed,encoder,decoder,adapter,best_nmse,final_test_nmse,complete
100000,512,0.00011920755787286907,0.26074641942977905,0.26074644923210144,5.780999660491943,1.179090976715088,0.00021507017663680017,0.06798863410949707,0.14148755371570587,2.0810470581054688,0.048148345202207565,95.8271484375,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_transnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,3407,transnet,transnet,gated_lowrank_affine_mlp,-29.539,-29.539,True
100000,512,-1.0104157809109893e-05,0.2595430612564087,0.2595430612564087,5.750027179718018,1.1945037841796875,0.001160725369118154,0.06736011803150177,0.139951691031456,2.0776638984680176,0.048388347029685974,96.07850646972656,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed42_clnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,42,clnet,transnet,gated_lowrank_affine_mlp,-26.418,-26.418,True
100000,512,0.0003046779311262071,0.25987738370895386,0.2598775327205658,5.7644829750061035,1.161612868309021,0.0005211682873778045,0.06753592193126678,0.1407155692577362,2.083566188812256,0.04809354990720749,95.63908386230469,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed42_crnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,42,crnet,transnet,gated_lowrank_affine_mlp,-23.294,-23.294,True
100000,512,0.0006114548305049539,0.25955531001091003,0.25955602526664734,5.759260654449463,1.1506582498550415,0.0013204653514549136,0.06736591458320618,0.1403479427099228,2.083367347717285,0.04822058603167534,95.65303039550781,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed42_csinet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,42,csinet,transnet,gated_lowrank_affine_mlp,-25.885,-25.885,True
100000,512,-0.0032611852511763573,0.8640645742416382,0.8640706539154053,15.818427085876465,11.491122245788574,0.0037216776981949806,0.7465959191322327,0.6209747195243835,0.8317413926124573,5.985076904296875,8.219932556152344,adapter/aux_pca_1e-2_code_reg_weak/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_dec_seed42,adapter/aux_pca_1e-2_code_reg_weak/gated_lowrank_affine_mlp,aux_pca_1e-2_code_reg_weak,3407,transnet,transnet,gated_lowrank_affine_mlp,-14.379,-14.379,True
100000,512,0.20618440210819244,0.4529566168785095,0.4976763129234314,11.122941970825195,1.758751392364502,0.20618440210819244,0.20499005913734436,0.4837830662727356,2.360031843185425,0.05624421313405037,77.68942260742188,adapter/aux_pca_1e-3/diag_affine/rank32_code1e-3_fc1e-2_lr2e-4/enc_seed2026_dec_seed42,adapter/aux_pca_1e-3/diag_affine,aux_pca_1e-3,2026,transnet,transnet,diag_affine,-12.535,-11.771,True
100000,512,0.20708559453487396,0.4976798892021179,0.5390452146530151,12.013460159301758,2.109145402908325,0.20708560943603516,0.24768319725990295,0.5101828575134277,2.0598201751708984,0.07655666768550873,97.09088897705078,adapter/aux_pca_1e-3/gated_lowrank_affine_linear/rank32_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed2026_dec_seed42,adapter/aux_pca_1e-3/gated_lowrank_affine_linear,aux_pca_1e-3,2026,transnet,transnet,gated_lowrank_affine_linear,-20.187,,False
100000,512,0.2065799981355667,0.49739566445350647,0.5385887026786804,11.999566078186035,2.1284306049346924,0.2065799981355667,0.24739870429039001,0.5101361870765686,2.062000274658203,0.07509052008390427,96.94690704345703,adapter/aux_pca_1e-3/gated_lowrank_affine_linear/rank32_gate0.1_code1e-3_fc1e-3_lr5e-4_ep400/enc_seed2026_dec_seed42,adapter/aux_pca_1e-3/gated_lowrank_affine_linear,aux_pca_1e-3,2026,transnet,transnet,gated_lowrank_affine_linear,-21.935,,False
100000,512,0.2037411332130432,0.497524231672287,0.5376251935958862,11.970012664794922,2.1697275638580322,0.2037411332130432,0.2475298047065735,0.5098150968551636,2.0596108436584473,0.07547805458307266,97.12313079833984,adapter/aux_pca_1e-3/gated_lowrank_affine_mlp/rank32_hidden1024_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed2026_dec_seed42,adapter/aux_pca_1e-3/gated_lowrank_affine_mlp,aux_pca_1e-3,2026,transnet,transnet,gated_lowrank_affine_mlp,-26.818,-26.818,True
100000,512,0.20350737869739532,0.4970591962337494,0.5371062159538269,11.963293075561523,2.140784978866577,0.20350739359855652,0.247065931558609,0.5092558860778809,2.0612144470214844,0.07547874748706818,97.00076293945312,adapter/aux_pca_1e-3/gated_lowrank_affine_mlp/rank32_hidden1024_gate0.1_code1e-3_fc1e-3_lr5e-4_ep400/enc_seed2026_dec_seed42,adapter/aux_pca_1e-3/gated_lowrank_affine_mlp,aux_pca_1e-3,2026,transnet,transnet,gated_lowrank_affine_mlp,-26.907,,False
100000,512,0.20395566523075104,0.4970061779022217,0.537227213382721,11.972399711608887,2.105123519897461,0.20395566523075104,0.2470146119594574,0.509536623954773,2.062779188156128,0.07583718001842499,96.87638854980469,adapter/aux_pca_1e-3/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep1000/enc_seed2026_dec_seed42,adapter/aux_pca_1e-3/gated_lowrank_affine_mlp,aux_pca_1e-3,2026,transnet,transnet,gated_lowrank_affine_mlp,-27.478,-27.425,True
100000,512,0.2038055807352066,0.49745550751686096,0.537585973739624,11.973859786987305,2.143364667892456,0.2038055658340454,0.24746140837669373,0.5098708868026733,2.060405731201172,0.0755806490778923,97.06092071533203,adapter/aux_pca_1e-3/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep200/enc_seed2026_dec_seed42,adapter/aux_pca_1e-3/gated_lowrank_affine_mlp,aux_pca_1e-3,2026,transnet,transnet,gated_lowrank_affine_mlp,-26.959,-26.959,True
100000,512,0.2046249508857727,0.4969273507595062,0.537408709526062,11.977593421936035,2.0992894172668457,0.2046249508857727,0.24693618714809418,0.509431779384613,2.063009738922119,0.07550253719091415,96.8638687133789,adapter/aux_pca_1e-3/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep3000/enc_seed2026_dec_seed42,adapter/aux_pca_1e-3/gated_lowrank_affine_mlp,aux_pca_1e-3,2026,transnet,transnet,gated_lowrank_affine_mlp,-27.601,,False
100000,512,0.203559011220932,0.49708640575408936,0.5371509790420532,11.968204498291016,2.1189615726470947,0.203559011220932,0.24709445238113403,0.5095009803771973,2.0619685649871826,0.07574962079524994,96.93936920166016,adapter/aux_pca_1e-3/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed2026_dec_seed42,adapter/aux_pca_1e-3/gated_lowrank_affine_mlp,aux_pca_1e-3,2026,transnet,transnet,gated_lowrank_affine_mlp,-27.305,-27.303,True
100000,512,0.20434515178203583,0.49717363715171814,0.5375300645828247,11.975492477416992,2.127002716064453,0.20434516668319702,0.24718007445335388,0.5096673369407654,2.061927318572998,0.07548333704471588,96.94642639160156,adapter/aux_pca_1e-3/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-3_lr5e-4_ep200/enc_seed2026_dec_seed42,adapter/aux_pca_1e-3/gated_lowrank_affine_mlp,aux_pca_1e-3,2026,transnet,transnet,gated_lowrank_affine_mlp,-26.897,,False
100000,512,0.2041833996772766,0.496969997882843,0.537280261516571,11.972660064697266,2.110567092895508,0.20418336987495422,0.24697773158550262,0.5094639658927917,2.062793016433716,0.0753917396068573,96.88200378417969,adapter/aux_pca_1e-3/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-3_lr5e-4_ep400/enc_seed2026_dec_seed42,adapter/aux_pca_1e-3/gated_lowrank_affine_mlp,aux_pca_1e-3,2026,transnet,transnet,gated_lowrank_affine_mlp,-27.024,,False
