rel_path,scheme,adapter,seed,encoder,decoder,epochs,nmse,source_self_nmse,loss_code,loss_fc,delta_ratio,gate_mean,gate_std,lowrank_ratio,mlp_ratio,decoder42_self_nmse,adapter_vs_source_nmse_delta,adapter_vs_decoder42_nmse_delta
adapter/aux_pca_1e-3/gated_lowrank_affine_mlp/rank32_hidden512_gate0.1_code1e-3_fc1e-3_lr5e-4_ep400/enc_seed2026_dec_seed42,aux_pca_1e-3,gated_lowrank_affine_mlp,2026,transnet,transnet,400,-25.879,-29.62,0.00012355,0.00013583,0.74328,0.14175,0.035741,1.2449,1.4729,-29.528,3.7409999999999997,3.6489999999999974
adapter/aux_pca_1e-3/mlp/code1e-3_fc1e-3_lr2e-4/enc_seed2026_dec_seed42,aux_pca_1e-3,mlp,2026,transnet,transnet,400,-24.884,-29.62,0.00025442,8.1138e-05,0.74261,,,,,-29.528,4.736000000000001,4.643999999999998
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed2026_csinet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,gated_lowrank_affine_mlp,2026,csinet,transnet,400,-24.845,-25.998,0.00013605,4.881e-05,4.4065,0.28106,0.10469,6.2679,7.6703,-29.579,1.1530000000000022,4.734000000000002
adapter/aux_pca_1e-3/mlp/code1e-3_fc1e-3_recT1_lr2e-4/enc_seed2026_dec_seed42,aux_pca_1e-3,mlp,2026,transnet,transnet,400,-24.8,-29.62,0.00024491,8.9754e-05,0.74286,,,,,-29.528,4.82,4.727999999999998
adapter/aux_pca_1e-3/mlp/enc_seed2026_dec_seed42_recon1.0_code1e-3_lr2e-4,aux_pca_1e-3,mlp,2026,transnet,transnet,400,-24.753,-29.62,0.00027437,,0.74234,,,,,-29.528,4.867000000000001,4.774999999999999
adapter/aux_pca_1e-3/mlp/best_code1e-3_lr2e-4/enc_seed2026_dec_seed42,aux_pca_1e-3,mlp,2026,transnet,transnet,400,-24.753,-29.62,0.00027437,,0.74234,,,,,-29.528,4.867000000000001,4.774999999999999
adapter/aux_pca_1e-3/mlp/code1e-3_recT1_lr2e-4/enc_seed2026_dec_seed42,aux_pca_1e-3,mlp,2026,transnet,transnet,400,-24.752,-29.62,0.00028292,,0.74183,,,,,-29.528,4.868000000000002,4.776
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed42_csinet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,gated_lowrank_affine_mlp,42,csinet,transnet,100,-24.568,-26.562,0.00018894,7.7584e-05,5.8964,0.21881,0.074636,3.4429,6.8011,-29.579,1.9939999999999998,5.010999999999999
adapter/aux_pca_1e-3/mlp/enc_seed2026_dec_seed42_recon0.0_code1.0_lr1e-3,aux_pca_1e-3,mlp,2026,transnet,transnet,400,-24.507,-29.62,0.00017383,,0.74125,,,,,-29.528,5.1129999999999995,5.020999999999997
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed3407_clnet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,gated_lowrank_affine_mlp,3407,clnet,transnet,100,-24.484,-28.919,7.5085e-05,3.4156e-05,0.40271,0.20108,0.055131,1.2623,1.3195,-29.579,4.434999999999999,5.094999999999999
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_crnet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,gated_lowrank_affine_mlp,3407,crnet,transnet,400,-24.468,-26.597,9.4779e-05,3.8218e-05,0.43574,0.13145,0.040962,0.7294,0.81753,-29.579,2.1290000000000013,5.111000000000001
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_clnet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,gated_lowrank_affine_mlp,2026,clnet,transnet,100,-24.366,-29.049,7.7603e-05,3.5599e-05,0.42011,0.20897,0.054067,1.4028,1.461,-29.579,4.683,5.213000000000001
adapter/aux_pca_1e-3/mlp/enc_seed2026_dec_seed42_recon1.0_code1e-1_lr1e-3,aux_pca_1e-3,mlp,2026,transnet,transnet,400,-24.342,-29.62,0.00017535,,0.74302,,,,,-29.528,5.278000000000002,5.186
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed3407_crnet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,gated_lowrank_affine_mlp,3407,crnet,transnet,100,-24.108,-26.597,0.00012165,5.2047e-05,0.43604,0.10108,0.030554,0.45033,0.57189,-29.579,2.4890000000000008,5.471
adapter/aux_pca_1e-3/mlp/enc_seed2026_dec_seed42_recon1.0_code1e-2_lr1e-3,aux_pca_1e-3,mlp,2026,transnet,transnet,400,-24.084,-29.62,0.0002099,,0.73895,,,,,-29.528,5.536000000000001,5.443999999999999
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed42_clnet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,gated_lowrank_affine_mlp,42,clnet,transnet,100,-23.712,-28.803,9.7794e-05,4.8614e-05,0.4779,0.23664,0.059576,1.6035,1.6686,-29.579,5.091000000000001,5.867000000000001
