num_samples,cos_mean,cos_std,cos_min,cos_p05,cos_p50,cos_p95,mse,l2_mean,family,scheme,rel_a,rel_b,seed_a,seed_b,encoder_a,encoder_b,decoder_a,decoder_b,adapter_a,adapter_b
100000,0.9988040328025818,0.000777989043854177,0.9752621650695801,0.997442364692688,0.998969316482544,0.9996350407600403,0.0001815062278183177,0.28093305230140686,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_clnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed42_crnet_transnet_dec_seed42_transnet_transnet,2026,42,clnet,crnet,transnet,transnet,gated_lowrank_affine_mlp,gated_lowrank_affine_mlp
100000,0.9990828633308411,0.0008637667633593082,0.9769225120544434,0.9976224899291992,0.9993185997009277,0.9998000860214233,0.0001550996385049075,0.24652878940105438,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_clnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed42_csinet_transnet_dec_seed42_transnet_transnet,2026,42,clnet,csinet,transnet,transnet,gated_lowrank_affine_mlp,gated_lowrank_affine_mlp
100000,0.9982764720916748,0.0019061086932197213,0.9494203329086304,0.9948869347572327,0.9988653063774109,0.9997357130050659,0.00028205406852066517,0.3295396864414215,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_crnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_csinet_transnet_dec_seed42_transnet_transnet,2026,2026,crnet,csinet,transnet,transnet,gated_lowrank_affine_mlp,gated_lowrank_affine_mlp
100000,0.9997508525848389,0.00020393545855768025,0.987236499786377,0.9994319081306458,0.9997990131378174,0.9999263882637024,4.337234713602811e-05,0.13346830010414124,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_crnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_transnet_transnet_dec_seed42_transnet_transnet,2026,2026,crnet,transnet,transnet,transnet,gated_lowrank_affine_mlp,gated_lowrank_affine_mlp
100000,0.9995468258857727,0.0003674206673167646,0.9853459000587463,0.9989474415779114,0.9996360540390015,0.9998752474784851,6.544284406118095e-05,0.16916796565055847,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_crnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed3407_clnet_transnet_dec_seed42_transnet_transnet,2026,3407,crnet,clnet,transnet,transnet,gated_lowrank_affine_mlp,gated_lowrank_affine_mlp
100000,0.9990318417549133,0.0006065569468773901,0.9831531047821045,0.99795001745224,0.9991666674613953,0.9996677041053772,0.00015228166012093425,0.25761088728904724,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_crnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed3407_crnet_transnet_dec_seed42_transnet_transnet,2026,3407,crnet,crnet,transnet,transnet,gated_lowrank_affine_mlp,gated_lowrank_affine_mlp
100000,0.9934095740318298,0.004028806462883949,0.9168785810470581,0.9859976172447205,0.9942455887794495,0.998060941696167,0.0009805947775021195,0.6551499366760254,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_crnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed3407_csinet_transnet_dec_seed42_transnet_transnet,2026,3407,crnet,csinet,transnet,transnet,gated_lowrank_affine_mlp,gated_lowrank_affine_mlp
100000,0.9997607469558716,0.00020430474251043051,0.9876430034637451,0.9994385838508606,0.9998096227645874,0.9999350905418396,3.887005368596874e-05,0.12658677995204926,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_crnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed3407_transnet_transnet_dec_seed42_transnet_transnet,2026,3407,crnet,transnet,transnet,transnet,gated_lowrank_affine_mlp,gated_lowrank_affine_mlp
100000,0.9994067549705505,0.0004560172965284437,0.9836723804473877,0.9986534118652344,0.9995173215866089,0.9998183846473694,8.671378600411117e-05,0.19541522860527039,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_crnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed42_clnet_transnet_dec_seed42_transnet_transnet,2026,42,crnet,clnet,transnet,transnet,gated_lowrank_affine_mlp,gated_lowrank_affine_mlp
100000,0.9985508322715759,0.0010144442785531282,0.9736706614494324,0.9967779517173767,0.9987888932228088,0.9995631575584412,0.00021892473159823567,0.30941271781921387,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_crnet_transnet_dec_seed42_transnet_transnet,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed42_crnet_transnet_dec_seed42_transnet_transnet,2026,42,crnet,crnet,transnet,transnet,gated_lowrank_affine_mlp,gated_lowrank_affine_mlp
