name,encoder,decoder,path,num_samples,code_dim,mean,std,min,max,abs_mean,l2_norm_mean,l2_norm_std,near_zero_1e-3,dim_mean_abs_mean,dim_std_mean,dim_std_std,pca_top1_ratio,pca_top5_ratio,pca_top10_ratio,effective_rank_32
convnext_cnn_residual,convnext,cnn_residual,exps/seed42/COST2100/in/convnext_cnn_residual/base/codewords/train_code.pt,10000,512,-0.2577977180480957,30.146936416625977,-234.90916442871094,260.1021728515625,8.570202827453613,680.9935913085938,40.08478927612305,0.00048320312635041773,8.004619598388672,1.5983459949493408,1.557539939880371,0.8314967751502991,0.8677306771278381,0.9004588723182678,2.7838380336761475
convnext_hybrid,convnext,hybrid,exps/seed42/COST2100/in/convnext_hybrid/base/codewords/train_code.pt,10000,512,0.002273759339004755,2.545175552368164,-22.948410034179688,26.210020065307617,1.834686279296875,57.414024353027344,4.508397102355957,0.00038906250847503543,0.5575589537620544,2.0245108604431152,0.2481914460659027,0.08729672431945801,0.32953202724456787,0.5132483243942261,28.1773681640625
convnext_transnet,convnext,transnet,exps/seed42/COST2100/in/convnext_transnet/base/codewords/train_code.pt,10000,512,0.012427881360054016,1.407609224319458,-9.162342071533203,11.765689849853516,1.073371410369873,31.712322235107422,2.9775824546813965,0.0006249999860301614,0.2391895353794098,1.245760440826416,0.08863691240549088,0.08735814690589905,0.3271687924861908,0.5133423805236816,28.16594886779785
crnet_cnn_residual,crnet,cnn_residual,exps/seed42/COST2100/in/crnet_cnn_residual/base/codewords/train_code.pt,10000,512,-0.020940091460943222,10.312252044677734,-46.117286682128906,52.534366607666016,4.401825904846191,233.33595275878906,1.3924998044967651,0.0009566406370140612,4.267434597015381,0.4723823666572571,0.07640726864337921,0.07669676840305328,0.29020026326179504,0.48305249214172363,29.14746856689453
crnet_hybrid,crnet,hybrid,exps/seed42/COST2100/in/crnet_hybrid/base/codewords/train_code.pt,10000,512,-0.004817173816263676,0.8806506991386414,-6.700528621673584,11.60983657836914,0.5829379558563232,19.78803062438965,2.3505451679229736,0.0012271484592929482,0.10093452781438828,0.6777364611625671,0.0478682778775692,0.10921750217676163,0.3382410705089569,0.5191129446029663,27.447364807128906
crnet_transnet,crnet,transnet,exps/seed42/COST2100/in/crnet_transnet/base/codewords/train_code.pt,10000,512,-0.0004961307276971638,0.589945912361145,-4.211680889129639,4.165270805358887,0.46131187677383423,13.080231666564941,2.664994716644287,0.001452734344638884,0.11212941259145737,0.5712854266166687,0.03432874009013176,0.07223444432020187,0.29340630769729614,0.4907348155975342,29.111833572387695
csinet_cnn_residual,csinet,cnn_residual,exps/seed42/COST2100/in/csinet_cnn_residual/base/codewords/train_code.pt,10000,512,0.08639427274465561,9.5156888961792,-50.79671096801758,43.9117546081543,4.246510028839111,215.28939819335938,3.878701686859131,0.000979882781393826,4.146738529205322,0.43199536204338074,0.08434239774942398,0.33278703689575195,0.4961044192314148,0.6292073726654053,17.714216232299805
csinet_hybrid,csinet,hybrid,exps/seed42/COST2100/in/csinet_hybrid/base/codewords/train_code.pt,10000,512,-0.04334225878119469,1.1977393627166748,-12.889530181884766,16.378393173217773,0.7453868389129639,26.906597137451172,3.3914146423339844,0.0010066406102851033,0.1647370457649231,0.8485166430473328,0.07670363783836365,0.14027824997901917,0.35695216059684753,0.5299456715583801,26.544906616210938
csinet_transnet,csinet,transnet,exps/seed42/COST2100/in/csinet_transnet/base/codewords/train_code.pt,10000,512,-0.0050215586088597775,1.0492076873779297,-7.3155012130737305,8.153525352478027,0.8179205656051636,23.13254737854004,5.341033458709717,0.0008037109510041773,0.12351585924625397,1.0357310771942139,0.056458838284015656,0.08737926185131073,0.31725478172302246,0.511262059211731,28.30282974243164
dscnn_cnn_residual,dscnn,cnn_residual,exps/seed42/COST2100/in/dscnn_cnn_residual/base/codewords/train_code.pt,10000,512,-0.21085886657238007,12.380623817443848,-94.05262756347656,73.01287841796875,3.6088321208953857,280.17041015625,2.5678348541259766,0.0012798828538507223,3.40202260017395,0.48513513803482056,0.15670795738697052,0.11496101319789886,0.33611515164375305,0.5317544937133789,27.431062698364258
dscnn_hybrid,dscnn,hybrid,exps/seed42/COST2100/in/dscnn_hybrid/base/codewords/train_code.pt,10000,512,-0.12997084856033325,1.4731208086013794,-12.84111213684082,19.971134185791016,0.9614217877388,33.3036003112793,3.2561426162719727,0.0007375000277534127,0.24260710179805756,1.1217516660690308,0.11540872603654861,0.097615085542202,0.3386467695236206,0.5328426361083984,27.404783248901367
